name,handle,date,text,replys,retweets,likes
Amy Lynn,@AmyAThatcher,2021-07-10 15:43:33+00:00,"Amy LynnEver see ""The Omen""? Well that's what's going to happen if Donald Trump Jr. and Kimberly Gargoyle have a kid.
316
349
2.7K",316,349,2.7K
Palmer Report,@PalmerReport,2021-07-10 15:49:26+00:00,"Palmer ReportDonald Trump attacking Donald Trump Jr’s girlfriend Kimberly Guilfoyle. Ivanka and Jared trying to publicly distance themselves from Donald Trump. This is the part where the Trump family realizes they’re not going to survive these indictments, so they take it out on each other.
1K
4K
18.2K",1K,4K,18.2K
Amy Lynn,@AmyAThatcher,2021-07-10 16:02:08+00:00,"Amy LynnDonald Trump Jr. is so hung up on Hunter Biden, I think he might have a crush on him on the DL.
338
614
4.9K",338,614,4.9K
Kyle Griffin,@kylegriffin1,2021-07-10 18:00:00+00:00,"Kyle GriffinThe Justice Department said this week that Trump's delusional claims that he'll be reinstated to the White House could fuel more political violence from his supporters.
cnn.com
Justice Department says Trump's reinstatement talk could fuel more violence from his supporters
The Justice Department said this week that former President Donald Trump's delusional claims that he'll be reinstated to the White House could fuel more political violence from his supporters.
520
1.4K
4.1K",520,1.4K,4.1K
Laurence Tribe,@tribelaw,2021-07-10 19:04:26+00:00,"Laurence TribeI’m all for “convincing the public that a post-Trump Justice Department isn’t the same as an anti-Trump one,” but Garland is in danger of bending over backwards so far that he inadvertently runs a pro-Trump DOJ, giving Trump breaks nobody else would get.
nytimes.com
Garland Settles In but Trump Era Still Shadows the Justice Dept.
The attorney general’s decisions in a handful of cases have shaped an early challenge for him: fortifying the department’s independence.
466
2.5K
6.5K",466,2.5K,6.5K
Dr. Dawn Michael,@SexCounseling,2021-07-10 19:34:27+00:00,"Dr. Dawn MichaelDo you think that the audits will reveal that Biden lost and President Trump will step back into the office?
1K
589
2.8K",1K,589,2.8K
David Corn,@DavidCornDC,2021-07-10 19:49:42+00:00,"David CornI'm pretty sure Donald Trump is lying to me in this email.
344
365
1.9K",344,365,1.9K
Acyn,@Acyn,2021-07-10 19:50:19+00:00,"AcynAcosta: Comparing Trump to a clown is most definitely an insult to clowns. He’s more like one of those mask hating customers at the grocery store. You’ve seen them. A Karen…
473
3.1K
11K",473,3.1K,11K
Andrea Junker,@Strandjunker,2021-07-10 20:02:05+00:00,"Andrea JunkerIvanka gained 41 trademarks in China including coffins plus voting machines, Kushner used the White House to find debt loaners for himself, both made $640 million while “working” in daddy Trump’s administration, but, I’m sorry... what were you saying about Hunter Biden again?
353
4.7K
13.2K",353,4.7K,13.2K
Jim Acosta,@Acosta,2021-07-10 20:20:17+00:00,"Jim AcostaAn expert on the circus industry recently reached out to me and urged me to not compare Trump and his comeback tour to clowns at the circus... as that is an insult to clowns. I agree.
cnn.com
Acosta to Trump: Take your fake White House seal and play president somewhere else - CNN Video
As former President Donald Trump prepares to make remarks at CPAC, Jim Acosta takes a look at his recent activities, including a trip to the border and a speech at his New Jersey golf club, and...
6.5K
9.6K
41.2K",6.5K,9.6K,41.2K
